year,month,day,pto pizzaro_c,pto pizzaro_e,acapulco_c,acapulco_e,cancas_c,cancas_e,la cruz_c,la cruz_e,zorritos_c,zorritos_e,mancora_c,mancora_e,cabo blanco_c,cabo blanco_e,talara_c,talara_e,paita_c,paita_e,yacila_c,yacila_e,parachique_c,parachique_e,pto rico_c,pto rico_e,san jose_c,san jose_e,santa rosa_c,santa rosa_e,eten_c,eten_e,pacasmayo_c,pacasmayo_e,salaverry_c,salaverry_e,morin_c,morin_e,chimbote_c,chimbote_e,los chimus_c,los chimus_e,carquin_c,carquin_e,huacho_c,huacho_e,chancay_c,chancay_e,ancon_c,ancon_e,pucusana_c,pucusana_e,san andres_c,san andres_e,marcona_c,marcona_e,lomas_c,lomas_e,atico_c,atico_e,la planchada_c,la planchada_e,quilca_c,quilca_e,matarani_c,matarani_e,ilo_c,ilo_e,morro sama_c,morro sama_e
2016,feb,24,,,,,19,1,,,165,2,160,2,,,146,2,7580,2,,,,,,,,,15,1,,,,,,,,,2000,1,,,,,2400,3,,,1500,1,30213,11,,,,,1450,1,,,,,4500,5,8430,10,5475,4,7000,6
2016,feb,25,,,,,,,,,33,1,,,,,15,1,4100,2,120,1,,,,,,,,,,,,,,,,,700,1,,,,,,,,,8600,3,43513,6,,,,,870,2,1600,2,840,3,3095,4,2880,5,5800,10,,
2016,feb,26,,,83,2,,,,,234,3,,,,,,,5530,2,,,,,,,35,2,,,,,,,400,1,,,3000,1,,,,,,,,,,,41929,19,,,,,,,1290,3,1550,3,1320,5,4995,7,,,,
2016,feb,27,,,16,1,,,,,,,,,,,,,4000,1,,,,,,,,,,,,,,,2014,2,,,,,,,,,,,,,,,16262,4,,,,,,,1750,3,860,1,685,6,360,1,13925,18,,
2016,feb,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb,29,,,,,,,,,,,,,,,120,1,13500,8,,,,,,,,,,,,,,,400,1,,,2000,1,,,,,1500,1,,,1600,1,4000,2,,,,,,,,,,,6120,6,1115,1,9985,14,1400,2
2016,mar,1,,,,,,,,,,,140,1,,,,,4166,5,237,1,,,,,40,1,,,,,,,,,,,,,,,,,1300,1,,,1000,1,18370,5,,,,,,,,,1580,1,245,1,1595,3,2300,4,,
2016,mar,2,,,,,,,,,,,150,1,,,,,744,1,,,,,,,,,,,,,,,300,1,,,,,2580,,,,900,1,,,5900,3,15417,9,,,,,,,,,,,,,1250,3,3300,3,,
2016,mar,3,,,,,,,,,,,,,,,465,1,6300,3,14,1,,,,,,,,,,,,,400,1,,,4000,2,,,,,,,3000,1,,,14891,10,,,,,,,22,1,130,1,525,1,,,4800,7,,
2016,mar,4,13,1,,,,,,,,,100,1,,,,,12440,4,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,,4700,3,5964,3,,,,,,,,,,,525,1,410,2,4720,5,,
